"FBgn" "ML.dN" "ML.dS" "ML.omega"
"FBgn0034976" 0.0252 0.2327 0.1083
"FBgn0004581" 0.043 0.442 0.0973
"FBgn0042085" 0.038 0.283 0.1343
"FBgn0262111" 0.0262 0.3574 0.0733
"FBgn0020278" 0.0181 0.2206 0.082
"FBgn0039431" 0.0087 0.2149 0.0405
"FBgn0259221" 0.0172 0.276 0.0623
"FBgn0052227" 0.0153 0.2151 0.0711
"FBgn0035812" 0.0221 0.3319 0.0666
"FBgn0000053" 0.0227 0.2896 0.0784
"FBgn0038348" 0.0191 0.3142 0.0608
"FBgn0001316" 0.0222 0.2441 0.0909
"FBgn0043903" 0.0212 0.4108 0.0516
"FBgn0033192" 0.0148 0.2968 0.0499
"FBgn0033359" 0.017 0.2454 0.0693
"FBgn0015391" 0.0236 0.3693 0.0639
"FBgn0029082" 0.0036 0.2909 0.0124
"FBgn0003416" 0.0064 0.3558 0.018
"FBgn0031118" 0.0131 0.1988 0.0659
"FBgn0003016" 0.0107 0.2259 0.0474
"FBgn0050115" 0.0124 0.3859 0.0321
"FBgn0031051" 0.0091 0.321 0.0283
"FBgn0051028" 0.0088 0.3812 0.0231
"FBgn0261041" 0.0091 0.1624 0.056
"FBgn0030504" 0.0565 0.2881 0.1961
"FBgn0003892" 0.0053 0.2914 0.0182
"FBgn0015568" 0.023 0.3137 0.0733
"FBgn0034859" 0.0179 0.3216 0.0557
"FBgn0036321" 0.0379 0.2797 0.1355
"FBgn0024320" 0.019 0.3549 0.0535
"FBgn0033155" 0.0124 0.3036 0.0408
"FBgn0004364" 0.0044 0.2935 0.015
"FBgn0026616" 0.0136 0.2767 0.0492
"FBgn0002906" 0.0519 0.3098 0.1675
"FBgn0036043" 0.0047 0.2133 0.022
"FBgn0003218" 0.003 0.2258 0.0133
"FBgn0050183" 0.0393 0.2802 0.1403
"FBgn0265140" 0.0177 0.2198 0.0805
"FBgn0031752" 0.0399 0.287 0.139
"FBgn0040372" 0.0506 0.2655 0.1906
"FBgn0035264" 0.009 0.4003 0.0225
"FBgn0027582" 0.0246 0.2941 0.0836
"FBgn0033834" 0.1003 0.4405 0.2277
"FBgn0027835" 0.0243 0.2663 0.0913
"FBgn0035704" 0.0142 0.2738 0.0519
"FBgn0030412" 0.0017 0.0472 0.036
"FBgn0051792" 0.0751 0.3364 0.2232
"FBgn0027603" 0.2881 0.4865 0.5922
"FBgn0027594" 0.0151 0.3738 0.0404
"FBgn0036448" 0.029 0.3111 0.0932
"FBgn0029525" 0.0693 0.3785 0.1831
"FBgn0029903" 0.0038 0.2143 0.0177
"FBgn0261999" 0.0137 0.2686 0.051
"FBgn0033376" 0.0625 0.3164 0.1975
"FBgn0025725" 0.0025 0.256 0.0098
"FBgn0001083" 0.0126 0.3319 0.038
"FBgn0037918" 0.0195 0.3104 0.0628
"FBgn0016047" 0.0149 0.2448 0.0609
"FBgn0033052" 0.0221 0.2836 0.0779
"FBgn0031023" 0.1036 0.3576 0.2897
"FBgn0051989" 0.0503 0.4186 0.1202
"FBgn0040283" 0.0063 0.3576 0.0176
"FBgn0051793" 0.028 0.3191 0.0877
"FBgn0262955" 4e-04 0.3571 0.0011
"FBgn0039338" 0.02 0.3233 0.0619
"FBgn0086908" 0.0419 0.3683 0.1138
"FBgn0261675" 0.0352 0.3728 0.0944
"FBgn0034854" 0.035 0.3022 0.1158
"FBgn0033889" 0.1059 0.3583 0.2956
"FBgn0004387" 0.0017 0.2601 0.0065
"FBgn0040297" 0.019 0.2055 0.0925
"FBgn0002306" 0.0292 0.1975 0.1478
"FBgn0034113" 0.0266 0.341 0.078
"FBgn0035879" 0.009 0.198 0.0455
"FBgn0051774" 0.003 0.2938 0.0102
"FBgn0050275" 0.049 0.3942 0.1243
"FBgn0034568" 0.0067 0.3527 0.019
"FBgn0000542" 0.0132 0.2797 0.0472
"FBgn0039907" 0.0602 0.2819 0.2136
"FBgn0004512" 0.0114 0.2656 0.0429
"FBgn0265102" 0.0039 0.2975 0.0131
"FBgn0004509" 0.0285 0.2588 0.1101
"FBgn0050048" 0.1065 0.4155 0.2563
"FBgn0039530" 0.0062 0.2279 0.0272
"FBgn0261015" 0.0233 0.2018 0.1155
"FBgn0039117" 0.0269 0.3679 0.0731
"FBgn0035934" 0.0024 0.2814 0.0085
"FBgn0262527" 0.0438 0.2023 0.2165
"FBgn0027568" 0.0056 0.2501 0.0224
"FBgn0011836" 0.0207 0.3081 0.0672
"FBgn0025836" 0.0284 0.2637 0.1077
"FBgn0036368" 0.0036 0.2309 0.0156
"FBgn0284253" 0.0161 0.3015 0.0534
"FBgn0027575" 0.0028 0.3143 0.0089
"FBgn0013576" 0.0104 0.232 0.0448
"FBgn0036684" 0.0164 0.2392 0.0686
"FBgn0011589" 0.0101 0.2491 0.0405
"FBgn0037926" 0.0875 0.2663 0.3286
"FBgn0264606" 0.0096 0.1975 0.0486
"FBgn0264339" 0.0189 0.2699 0.07
"FBgn0263072" 0.0107 0.3091 0.0346
"FBgn0260012" 0.0081 0.206 0.0393
"FBgn0020621" 0.014 0.2274 0.0616
"FBgn0037074" 0.0118 0.2689 0.0439
"FBgn0037659" 0.0088 0.2747 0.032
"FBgn0259166" 0.0261 0.3555 0.0734
"FBgn0259876" 0.0502 0.2946 0.1704
"FBgn0015615" 0.0031 0.3437 0.009
"FBgn0283724" 0.0103 0.2368 0.0435
"FBgn0250850" 0.0357 0.3613 0.0988
"FBgn0036365" 0.0324 0.2804 0.1155
"FBgn0010197" 0.0103 0.3139 0.0328
"FBgn0003278" 0.0145 0.3102 0.0467
"FBgn0264502" 0.0321 0.1856 0.173
"FBgn0040507" 0.0074 0.3967 0.0187
"FBgn0039064" 0.0012 0.2975 0.004
"FBgn0004463" 0.0027 0.3089 0.0087
"FBgn0034391" 0.02 0.2898 0.069
"FBgn0035617" 0.0794 0.313 0.2537
"FBgn0036571" 0.0289 0.2847 0.1015
"FBgn0259216" 0.0978 0.3551 0.2754
"FBgn0259163" 0.0181 0.2409 0.0751
"FBgn0029088" 0.0207 0.2777 0.0745
"FBgn0260962" 0.0103 0.2891 0.0356
"FBgn0003429" 0.0119 0.1476 0.0806
"FBgn0033482" 0.0199 0.2271 0.0876
"FBgn0038890" 0.0161 0.2882 0.0559
"FBgn0051635" 0.0273 0.1915 0.1426
"FBgn0027580" 0.0033 0.2979 0.0111
"FBgn0261286" 0.0444 0.2636 0.1684
"FBgn0264962" 0.0361 0.2364 0.1527
"FBgn0027509" 0.0243 0.3186 0.0763
"FBgn0004406" 0.0219 0.3367 0.065
"FBgn0266411" 0.0544 0.3196 0.1702
"FBgn0000723" 0.0147 0.2094 0.0702
"FBgn0034745" 0.0092 0.4023 0.0229
"FBgn0051860" 0.135 0.5466 0.247
"FBgn0051998" 0.0581 0.2618 0.2219
"FBgn0003719" 0.0211 0.3286 0.0642
"FBgn0030858" 0.0167 0.2559 0.0653
"FBgn0024187" 0.0067 0.195 0.0344
"FBgn0038303" 0.0159 0.3125 0.0509
"FBgn0030366" 0.0325 0.398 0.0817
"FBgn0264561" 0.0287 0.3752 0.0765
"FBgn0015541" 0.0218 0.3237 0.0673
"FBgn0265630" 0.0256 0.2631 0.0973
"FBgn0051224" 0.0247 0.2166 0.114
"FBgn0039004" 0.0346 0.2911 0.1189
"FBgn0264087" 0.0106 0.2369 0.0447
"FBgn0036486" 0.0298 0.3292 0.0905
"FBgn0051151" 0.0206 0.1554 0.1326
"FBgn0262593" 0.0152 0.1485 0.1024
"FBgn0039972" 0.079 0.2778 0.2844
"FBgn0031995" 8e-04 0.2262 0.0035
"FBgn0010488" 0.0206 0.2782 0.074
"FBgn0031275" 0.0044 0.2619 0.0168
"FBgn0087013" 0.0201 0.2901 0.0693
"FBgn0053125" 0.1567 0.3351 0.4676
"FBgn0034049" 0.0152 0.315 0.0483
"FBgn0283682" 0.0182 0.2641 0.0689
"FBgn0001108" 0.0123 0.2685 0.0458
"FBgn0034070" 0.0183 0.2339 0.0782
"FBgn0259111" 0.0214 0.3379 0.0633
"FBgn0261262" 0.0132 0.106 0.1245
"FBgn0011771" 0.001 0.2213 0.0045
"FBgn0030716" 0.0373 0.3257 0.1145
"FBgn0030354" 0.0265 0.3621 0.0732
"FBgn0004698" 0.045 0.2685 0.1676
"FBgn0050020" 0.0637 0.2867 0.2222
"FBgn0035240" 0.0435 0.3153 0.138
"FBgn0284221" 0.0215 0.328 0.0655
"FBgn0038953" 0.047 0.265 0.1774
"FBgn0032475" 0.0105 0.2343 0.0448
"FBgn0264959" 0.0503 0.2247 0.2239
"FBgn0050015" 0.0257 0.2599 0.0989
"FBgn0032647" 0.1214 0.4116 0.2949
"FBgn0036463" 0.0204 0.2918 0.0699
"FBgn0000307" 0.0289 0.2198 0.1315
"FBgn0052432" 0.0093 0.2234 0.0416
"FBgn0052533" 0.0458 0.3698 0.1239
"FBgn0051729" 0.005 0.2489 0.0201
"FBgn0261984" 0.0101 0.2627 0.0384
"FBgn0004864" 0.0125 0.3866 0.0323
"FBgn0263600" 0.0036 0.3358 0.0107
"FBgn0259214" 0.0117 0.2181 0.0536
"FBgn0011740" 0.0111 0.2984 0.0372
"FBgn0260749" 0.0136 0.2581 0.0527
"FBgn0004852" 0.0163 0.2362 0.069
"FBgn0035842" 0.0837 0.4134 0.2025
"FBgn0015279" 0.0179 0.3131 0.0572
"FBgn0039863" 0.0555 0.2313 0.2399
"FBgn0086408" 0.0272 0.3492 0.0779
"FBgn0052106" 0.1738 0.4886 0.3557
"FBgn0038349" 0.128 1.4091 0.0908
"FBgn0032467" 0.0279 0.2521 0.1107
"FBgn0004611" 0.0051 0.2764 0.0185
"FBgn0041164" 0.0737 0.3493 0.211
"FBgn0026620" 0.1151 0.289 0.3983
"FBgn0037363" 0.0309 0.2278 0.1356
"FBgn0002887" 0.0404 0.327 0.1235
"FBgn0034180" 0.0163 0.1952 0.0835
"FBgn0038721" 0.014 0.2589 0.0541
"FBgn0262867" 0.0135 0.2582 0.0523
"FBgn0037487" 0.024 0.2742 0.0875
"FBgn0027783" 0.0173 0.3307 0.0523
"FBgn0043854" 0.0298 0.3875 0.0769
"FBgn0261385" 0.017 0.2585 0.0658
"FBgn0027585" 0.0189 0.2948 0.0641
"FBgn0037327" 0.0388 0.2841 0.1366
"FBgn0010241" 0.0253 0.2986 0.0847
"FBgn0038532" 0.1381 0.3107 0.4445
"FBgn0034691" 0.0037 0.2645 0.014
"FBgn0020299" 0.0076 0.3075 0.0247
"FBgn0030343" 0.0173 0.298 0.0581
"FBgn0263490" 0.0618 0.241 0.2564
"FBgn0026722" 0.0234 0.3482 0.0672
"FBgn0027503" 0.0315 0.237 0.1329
"FBgn0023513" 0.045 0.3291 0.1367
"FBgn0026083" 0.0428 0.2351 0.1821
"FBgn0052104" 0.0387 0.2872 0.1347
"FBgn0261393" 0.0616 0.3216 0.1915
"FBgn0037040" 0.108 0.3119 0.3463
"FBgn0004875" 0.0125 0.1599 0.0782
"FBgn0037037" 0.0468 0.3403 0.1375
"FBgn0030344" 0.0759 0.328 0.2314
"FBgn0037371" 0.0244 0.3467 0.0704
"FBgn0035207" 0.0273 0.2697 0.1012
"FBgn0033339" 0.0275 0.2887 0.0953
"FBgn0038881" 0.018 0.0885 0.2034
"FBgn0284250" 0.0283 0.3732 0.0758
"FBgn0010352" 0.0174 0.2383 0.073
"FBgn0029992" 0.0334 0.3434 0.0973
"FBgn0019890" 0.011 0.2391 0.046
"FBgn0000352" 0.0263 0.3293 0.0799
"FBgn0036279" 0.0059 0.2735 0.0216
"FBgn0036309" 0.0263 0.2909 0.0904
"FBgn0020236" 0.0012 0.2316 0.0052
"FBgn0028901" 0.2 0.4681 0.4273
"FBgn0039927" 0.0192 0.2867 0.067
"FBgn0036374" 0.0107 0.1903 0.0562
"FBgn0001330" 0.024 0.3274 0.0733
"FBgn0002774" 0.0451 0.2915 0.1547
"FBgn0004876" 0.0156 0.1915 0.0815
"FBgn0260487" 0.0278 0.249 0.1116
"FBgn0026713" 0.0138 0.388 0.0356
"FBgn0032479" 0.029 0.2446 0.1186
"FBgn0263397" 0.0042 0.1071 0.0392
"FBgn0037218" 0.0532 0.2685 0.1981
"FBgn0003328" 0.0537 0.4027 0.1333
"FBgn0025641" 0.0127 0.3092 0.0411
"FBgn0013765" 0.0455 0.2318 0.1963
"FBgn0010909" 0.0045 0.1159 0.0388
"FBgn0034346" 0.0158 0.3228 0.0489
"FBgn0039955" 0.057 0.3087 0.1846
"FBgn0003463" 0.0082 0.2859 0.0287
"FBgn0266418" 0.0119 0.2173 0.0548
"FBgn0039075" 0.0047 0.2444 0.0192
"FBgn0052296" 0.0189 0.2111 0.0895
"FBgn0262869" 0.0058 0.1363 0.0426
"FBgn0032123" 0.0125 0.2769 0.0451
"FBgn0027529" 0.0957 0.3529 0.2712
"FBgn0023143" 0.0104 0.2585 0.0402
"FBgn0037741" 0.0332 0.2885 0.1151
"FBgn0050372" 0.0035 0.2661 0.0132
"FBgn0051116" 0.007 0.2273 0.0308
"FBgn0038118" 0.0186 0.2149 0.0866
"FBgn0020497" 0.0017 0.2077 0.0082
"FBgn0066101" 0.0094 0.2179 0.0431
"FBgn0039936" 0.079 0.2544 0.3105
"FBgn0086895" 0.0124 0.2663 0.0466
"FBgn0261243" 0.0259 0.2401 0.1079
"FBgn0031116" 0.0124 0.3086 0.0402
"FBgn0052305" 0.0573 0.3997 0.1434
"FBgn0034989" 0.0181 0.2698 0.0671
"FBgn0029791" 0.0406 0.4438 0.0915
"FBgn0042177" 0.0837 0.3241 0.2583
"FBgn0038853" 0.0094 0.2304 0.0408
"FBgn0053180" 0.0265 0.2943 0.09
"FBgn0000163" 0.0074 0.2212 0.0335
"FBgn0034013" 0.0104 0.2217 0.0469
"FBgn0001624" 0.0175 0.2261 0.0774
"FBgn0033005" 0.0605 0.3651 0.1657
"FBgn0002121" 0.026 0.276 0.0942
"FBgn0052677" 0.0293 0.2755 0.1064
"FBgn0284251" 0.0478 0.2955 0.1618
"FBgn0004374" 0.0187 0.3578 0.0523
"FBgn0266719" 0.0098 0.3024 0.0324
"FBgn0267795" 0.0079 0.2296 0.0344
"FBgn0035111" 0.0605 0.2701 0.224
"FBgn0261794" 0.0151 0.141 0.1071
"FBgn0261269" 0.0233 0.3496 0.0666
"FBgn0024232" 0.0055 0.2485 0.0221
"FBgn0037254" 0.0179 0.3633 0.0493
"FBgn0035953" 0.0147 0.273 0.0538
"FBgn0023416" 0.0309 0.2646 0.1168
"FBgn0003053" 0.037 0.4514 0.082
"FBgn0003041" 0.0132 0.2279 0.0579
"FBgn0020251" 0.0095 0.2907 0.0327
"FBgn0029840" 0.0298 0.3036 0.0982
"FBgn0086693" 0.0095 0.2947 0.0322
"FBgn0263601" 0.0091 0.2736 0.0333
"FBgn0001341" 0.0616 0.3741 0.1647
"FBgn0053513" 0.0037 0.27 0.0137
"FBgn0040268" 0.0495 0.3292 0.1504
"FBgn0039240" 0.0064 0.2645 0.0242
"FBgn0039602" 0.0711 0.2608 0.2726
"FBgn0035799" 0.0343 0.4357 0.0787
"FBgn0086450" 0.0093 0.284 0.0327
"FBgn0026252" 0.0034 0.2713 0.0125
"FBgn0259211" 0.0078 0.2077 0.0376
"FBgn0086347" 0.0208 0.3453 0.0602
"FBgn0011606" 0.0766 0.4321 0.1773
"FBgn0284254" 0.0201 0.255 0.0788
"FBgn0038016" 0.0403 0.3024 0.1333
"FBgn0259173" 0.0121 0.2865 0.0422
"FBgn0002921" 0.008 0.1696 0.0472
"FBgn0051547" 0.0109 0.3835 0.0284
"FBgn0026147" 0.0287 0.2457 0.1168
"FBgn0026573" 0.0775 0.3357 0.2309
"FBgn0027079" 0.0059 0.2583 0.0228
"FBgn0020412" 0.0534 0.3048 0.1752
"FBgn0003255" 0.0111 0.2361 0.047
"FBgn0026313" 0.0158 0.232 0.0681
"FBgn0040508" 0.0566 0.3711 0.1525
"FBgn0034005" 0.1797 0.4622 0.3888
"FBgn0032593" 0.0031 0.3182 0.0097
"FBgn0031850" 0.0104 0.4036 0.0258
"FBgn0032243" 0.0237 0.4178 0.0567
"FBgn0041171" 0.0181 0.1771 0.1022
"FBgn0004595" 0.006 0.1538 0.039
"FBgn0031866" 0.0099 0.1936 0.0511
"FBgn0038295" 0.0159 0.27 0.0589
"FBgn0036686" 0.0094 0.3597 0.0261
"FBgn0033460" 0.0234 0.2295 0.102
"FBgn0259680" 0.0427 0.2154 0.1982
"FBgn0034083" 0.038 0.3088 0.1231
"FBgn0002899" 0.0286 0.3591 0.0796
"FBgn0020616" 0.0015 0.3523 0.0043
"FBgn0030170" 0.0385 0.3062 0.1257
"FBgn0034853" 0.0912 0.3277 0.2783
"FBgn0033447" 0.0245 0.379 0.0646
"FBgn0031799" 0.0079 0.296 0.0267
"FBgn0051739" 0.025 0.3136 0.0797
"FBgn0051025" 0.0506 0.5309 0.0953
"FBgn0259210" 0.0105 0.2001 0.0525
"FBgn0028343" 0.0485 0.2379 0.2039
"FBgn0050421" 0.0313 0.2143 0.1461
"FBgn0031842" 0.0605 0.2646 0.2286
"FBgn0032069" 0.016 0.2589 0.0618
"FBgn0051665" 0.0206 0.1177 0.175
"FBgn0010660" 0.0601 0.2704 0.2223
"FBgn0002872" 0.1104 0.3016 0.366
"FBgn0039640" 0.0107 0.3485 0.0307
"FBgn0037810" 0.1074 0.3154 0.3405
"FBgn0000482" 0.0156 0.3361 0.0464
"FBgn0263391" 0.2995 0.5935 0.5046
"FBgn0015772" 0.0195 0.2074 0.094
"FBgn0259145" 0.0097 0.1321 0.0734
"FBgn0262738" 0.0089 0.3118 0.0285
"FBgn0005614" 0.0164 0.2556 0.0642
"FBgn0026433" 0.1736 0.4059 0.4277
"FBgn0051510" 0.0891 0.3485 0.2557
"FBgn0041210" 0.0037 0.1906 0.0194
"FBgn0039508" 0.0207 0.3226 0.0642
"FBgn0028962" 0.0189 0.3183 0.0594
"FBgn0266572" 0.0065 0.26 0.025
"FBgn0035942" 0.0429 0.411 0.1044
"FBgn0032348" 0.0129 0.2483 0.052
"FBgn0261532" 0.0109 0.3718 0.0293
"FBgn0026369" 0.0293 0.2749 0.1066
"FBgn0038818" 0.021 0.3142 0.0668
"FBgn0037894" 0.0122 0.3721 0.0328
"FBgn0266282" 0.0578 0.3176 0.182
"FBgn0250732" 0.0262 0.3056 0.0857
"FBgn0027499" 0.1351 0.3098 0.4361
"FBgn0036574" 0.0475 0.3088 0.1538
"FBgn0004839" 0.0144 0.2806 0.0513
"FBgn0032116" 0.0368 0.3567 0.1032
"FBgn0027794" 0.3227 1.3591 0.2374
"FBgn0037332" 0.0539 0.2892 0.1864
"FBgn0034797" 0.0116 0.3324 0.0349
"FBgn0005624" 0.0347 0.2292 0.1514
"FBgn0002183" 0.0059 0.3003 0.0196
"FBgn0001247" 0.0091 0.2991 0.0304
"FBgn0029157" 0.0223 0.2426 0.0919
"FBgn0259736" 0.0359 0.3009 0.1193
"FBgn0036958" 0.0077 0.1778 0.0433
"FBgn0040271" 0.0156 0.2642 0.059
"FBgn0038168" 0.0157 0.3413 0.046
"FBgn0030889" 0.0127 0.3436 0.037
"FBgn0051999" 0.054 0.3343 0.1615
"FBgn0027780" 0.0465 0.3189 0.1458
"FBgn0025687" 0.0048 0.2867 0.0167
"FBgn0036714" 0.075 0.3534 0.2122
"FBgn0262127" 0.0098 0.2307 0.0425
"FBgn0036038" 0.0072 0.3649 0.0197
"FBgn0261931" 0.0162 0.2977 0.0544
"FBgn0285896" 0.0271 0.3399 0.0797
"FBgn0030746" 0.0387 0.3958 0.0978
"FBgn0010246" 0.011 0.3686 0.0298
"FBgn0046874" 0.0986 0.265 0.3721
"FBgn0260748" 0.0141 0.2443 0.0577
"FBgn0033491" 0.0452 0.3731 0.1211
"FBgn0035833" 0.0093 0.329 0.0283
"FBgn0010247" 0.0613 0.3555 0.1724
"FBgn0052438" 0.066 0.3368 0.196
"FBgn0025830" 0.0186 0.2767 0.0672
"FBgn0052506" 0.0311 0.4172 0.0745
"FBgn0035424" 0.0216 0.1732 0.1247
"FBgn0023090" 0.1347 0.2976 0.4526
"FBgn0053287" 0.0762 0.3102 0.2456
"FBgn0003943" 5e-04 0.509 0.001
"FBgn0003174" 0.0156 0.2403 0.0649
"FBgn0039566" 0.0036 0.2909 0.0124
"FBgn0051678" 0.0469 0.2846 0.1648
"FBgn0035060" 0.0308 0.2306 0.1336
"FBgn0052000" 0.0437 0.3146 0.1389
"FBgn0038244" 0.033 0.2405 0.1372
"FBgn0010399" 0.0043 0.3188 0.0135
"FBgn0027094" 0.0041 0.271 0.0151
"FBgn0037931" 0.0148 0.3007 0.0492
"FBgn0261283" 0.0295 0.276 0.1069
"FBgn0031384" 0.0101 0.2278 0.0443
"FBgn0032369" 0.058 0.4026 0.1441
"FBgn0034253" 0.0227 0.3086 0.0736
"FBgn0035398" 0.0026 0.2234 0.0116
"FBgn0264357" 0.0154 0.2486 0.0619
"FBgn0029706" 0.0076 0.3171 0.024
"FBgn0053158" 0.0083 0.27 0.0307
"FBgn0032067" 0.0379 0.3867 0.098
"FBgn0262117" 0.0194 0.2948 0.0658
"FBgn0035713" 0.0242 0.3193 0.0758
"FBgn0036882" 0.0246 0.2836 0.0867
"FBgn0086442" 0.019 0.2523 0.0753
"FBgn0050440" 0.1189 0.2873 0.4139
"FBgn0031456" 0.0071 0.291 0.0244
"FBgn0000228" 0.0172 0.3201 0.0537
"FBgn0262483" 0.0073 0.1572 0.0464
"FBgn0027500" 0.0358 0.3467 0.1033
"FBgn0013563" 0.0113 0.2776 0.0407
"FBgn0026598" 0.0119 0.257 0.0463
"FBgn0029798" 0.0177 0.3109 0.0569
"FBgn0028879" 0.0165 0.2334 0.0707
"FBgn0034072" 0.0207 0.2345 0.0883
"FBgn0031955" 0.0069 0.2336 0.0295
"FBgn0037801" 0.0045 0.2685 0.0168
"FBgn0053172" 0.0532 0.4139 0.1285
"FBgn0032066" 0.0299 0.3486 0.0858
"FBgn0085399" 0.0011 0.2425 0.0045
"FBgn0024510" 0.062 0.2727 0.2274
"FBgn0030223" 0.0632 0.3976 0.159
"FBgn0034950" 0.0129 0.3251 0.0397
"FBgn0032752" 0.0402 0.2977 0.135
"FBgn0020647" 0.0085 0.1725 0.0493
"FBgn0260005" 0.0018 0.2605 0.0069
"FBgn0028484" 0.0155 0.2825 0.0549
"FBgn0263006" 0.0022 0.104 0.0212
"FBgn0083950" 0.0053 0.1472 0.036
"FBgn0026317" 0.0131 0.2552 0.0513
"FBgn0030815" 0.0514 0.383 0.1342
"FBgn0039928" 0.0365 0.32 0.1141
"FBgn0051092" 0.053 0.3146 0.1685
"FBgn0034880" 0.2057 0.4918 0.4183
"FBgn0030706" 0.0059 0.3103 0.019
"FBgn0037979" 0.034 0.2932 0.116
"FBgn0022213" 0.0166 0.2963 0.056
"FBgn0031574" 0.0164 0.3046 0.0538
"FBgn0259734" 0.0231 0.2821 0.0819
"FBgn0003444" 0.0159 0.3103 0.0512
"FBgn0029728" 0.3668 0.5376 0.6823
"FBgn0038156" 0.0043 0.1421 0.0303
"FBgn0035625" 0.0063 0.2882 0.0219
"FBgn0086129" 0.0385 0.332 0.116
"FBgn0036892" 0.0198 0.2639 0.075
"FBgn0000416" 0.0325 0.2752 0.1181
"FBgn0259228" 0.0293 0.2207 0.1328
"FBgn0001986" 0.0201 0.3449 0.0583
"FBgn0039827" 0.0279 0.2364 0.118
"FBgn0263236" 0.0109 0.3059 0.0356
"FBgn0030961" 0.0123 0.3003 0.041
"FBgn0001206" 0.1837 0.2864 0.6414
"FBgn0261276" 0.0072 0.2072 0.0347
"FBgn0029976" 0.0084 0.2482 0.0338
"FBgn0004583" 0.0159 0.1968 0.0808
"FBgn0030685" 0.0086 0.2474 0.0348
"FBgn0270925" 0.0619 0.3802 0.1628
"FBgn0039183" 0.021 0.2985 0.0704
"FBgn0263934" 0.0192 0.3619 0.0531
"FBgn0266916" 0.1078 0.344 0.3134
"FBgn0001987" 0.0104 0.3181 0.0327
"FBgn0035073" 0.031 0.2906 0.1067
"FBgn0052783" 0.2033 0.3918 0.5189
"FBgn0004369" 0.0078 0.1867 0.0418
"FBgn0011604" 0.0029 0.3143 0.0092
"FBgn0027588" 0.0165 0.2705 0.061
"FBgn0028467" 0.0632 0.3802 0.1662
"FBgn0034121" 0.0782 0.3942 0.1984
"FBgn0046113" 0.0203 0.377 0.0538
"FBgn0038611" 0.0357 0.2943 0.1213
"FBgn0033397" 0.0498 0.4021 0.1238
"FBgn0022786" 0.0257 0.2999 0.0857
"FBgn0016975" 0.031 0.2522 0.1229
"FBgn0030887" 0.0107 0.2942 0.0364
"FBgn0263346" 0.0418 0.2441 0.1712
"FBgn0003861" 0.0119 0.2273 0.0524
"FBgn0028916" 0.0112 0.3119 0.0359
"FBgn0029864" 0.0271 0.2546 0.1064
"FBgn0052016" 0.0856 0.3252 0.2632
"FBgn0032339" 0.01 0.2589 0.0386
"FBgn0051445" 0.0778 0.4191 0.1856
"FBgn0264753" 0.0217 0.3063 0.0708
"FBgn0037736" 0.008 0.2663 0.03
"FBgn0053531" 0.0171 0.2089 0.0819
"FBgn0035150" 0.0864 0.4686 0.1844
"FBgn0266432" 0.0711 0.3422 0.2078
"FBgn0051158" 0.0064 0.1506 0.0425
"FBgn0033864" 0.1835 0.4787 0.3833
"FBgn0250910" 0.0108 0.1532 0.0705
"FBgn0003598" 0.0913 0.3236 0.2821
"FBgn0261985" 0.0036 0.2309 0.0156
"FBgn0026679" 0.0194 0.3633 0.0534
"FBgn0000667" 0.0141 0.2395 0.0589
"FBgn0050484" 0.2166 0.5291 0.4094
"FBgn0027330" 0.0105 0.3011 0.0349
"FBgn0083969" 0.0141 0.1813 0.0778
"FBgn0033638" 0.0255 0.2068 0.1233
"FBgn0052529" 0.0319 0.2552 0.125
"FBgn0027375" 0.0439 0.3633 0.1208
"FBgn0003159" 0.0689 0.3006 0.2292
"FBgn0053288" 0.0567 0.2714 0.2089
"FBgn0030027" 0.0107 0.3183 0.0336
"FBgn0262739" 4e-04 0.2014 0.002
"FBgn0034009" 0.0159 0.2497 0.0637
"FBgn0030701" 0.0036 0.2053 0.0175
"FBgn0013995" 0.0163 0.2388 0.0683
"FBgn0051612" 0.0681 0.3114 0.2187
"FBgn0035113" 0.0152 0.2954 0.0515
"FBgn0030506" 0.0306 0.3435 0.0891
"FBgn0030833" 0.0936 0.3376 0.2773
"FBgn0037702" 0.0053 0.1753 0.0302
"FBgn0261618" 0.0256 0.1146 0.2234
"FBgn0001978" 0.0374 0.2939 0.1273
"FBgn0000392" 0.0455 0.3389 0.1343
"FBgn0051233" 0.0357 0.3684 0.0969
"FBgn0283712" 0.0273 0.3451 0.0791
"FBgn0015376" 0.0212 0.3107 0.0682
"FBgn0023511" 0.0348 0.3127 0.1113
"FBgn0038870" 0.0184 0.3231 0.0569
"FBgn0037215" 0.043 0.2651 0.1622
"FBgn0034271" 0.0088 0.2797 0.0315
"FBgn0035241" 0.0678 0.1711 0.3963
"FBgn0036569" 0.0414 0.3202 0.1293
"FBgn0015803" 0.0207 0.2344 0.0883
"FBgn0267363" 0.0192 0.3661 0.0524
"FBgn0039329" 0.0315 0.3391 0.0929
"FBgn0003090" 0.0183 0.2601 0.0704
"FBgn0040068" 0.0091 0.2557 0.0356
"FBgn0000639" 0.0502 0.2916 0.1722
"FBgn0035813" 0.0665 0.2514 0.2645
"FBgn0023001" 0.0076 0.2529 0.0301
"FBgn0037205" 0.1196 0.2998 0.3989
"FBgn0030089" 0.0045 0.1702 0.0264
"FBgn0020385" 0.0089 0.2722 0.0327
"FBgn0085421" 0.0025 0.2601 0.0096
"FBgn0037622" 0.0182 0.2761 0.0659
